dose_year,dose_month,comirnaty,janssen,novavax,spikevax,astrazeneca,others
2020,12,11880,0,0,0,0,0
2021,01,262008,0,0,7421,0,9
2021,02,331614,0,0,31135,26161,7
2021,03,733412,84,0,130701,205912,33
2021,04,1142010,6472,0,166445,153834,53
2021,05,1817666,34424,0,169070,159523,58
2021,06,2454561,51412,0,216619,204895,126
2021,07,1792765,51151,0,143040,109711,139
2021,08,991004,60328,0,39231,24468,99
2021,09,267906,33800,0,22837,1745,72
2021,10,367642,44983,0,31699,678,55
2021,11,1007592,107357,0,125132,273,42
2021,12,1629381,15836,0,234472,148,26
2022,01,1319202,4155,0,188140,205,12
2022,02,285269,896,0,32830,11,9
2022,03,88229,420,3502,10974,8,2
2022,04,61021,260,3090,6173,3,2
2022,05,50054,294,1337,4772,4,3
2022,06,31367,186,736,2823,1,3
2022,07,77264,244,652,6874,3,3
2022,08,128730,252,645,12279,2,4
2022,09,162980,187,353,7714,5,3
2022,10,273956,123,331,5991,0,4
2022,11,172859,109,290,3064,0,0
2022,12,42269,63,108,718,0,0
2023,01,19471,186,21,587,0,0
2023,02,6989,119,0,222,0,0
2023,03,3974,92,0,133,0,1
2023,04,1553,81,0,67,0,0
2023,05,796,24,0,30,0,0
2023,06,455,8,0,21,0,0
2023,07,157,3,0,3,0,0
2023,08,333,4,0,4,0,0
2023,09,15041,1,0,38,0,0
2023,10,194532,0,0,202,0,0
2023,11,131843,0,0,187,0,0
2023,12,36955,0,31,14,0,0
2024,01,16962,2,369,4,0,0
2024,02,2414,0,60,2,0,0
2024,03,342,0,12,0,0,0
