year_birth,male_population,female_population,population
1911,0,1,1
1912,0,6,6
1913,0,19,19
1914,3,23,26
1915,0,29,29
1916,34,37,71
1917,38,68,106
1918,28,65,93
1919,51,132,183
1920,84,336,420
1921,157,613,770
1922,283,868,1151
1923,353,1386,1739
1924,494,1714,2208
1925,718,2294,3012
1926,1017,2847,3864
1927,1364,3569,4933
1928,1676,4463,6139
1929,2034,5064,7098
1930,2545,5750,8295
1931,2943,6301,9244
1932,3310,6412,9722
1933,3271,6513,9784
1934,3547,6698,10245
1935,3831,6474,10305
1936,3865,6515,10380
1937,4079,6654,10733
1938,4564,6883,11447
1939,4749,7202,11951
1940,5616,7697,13313
1941,5914,7917,13831
1942,6320,8070,14390
1943,7239,8846,16085
1944,7624,8992,16616
1945,7244,8776,16020
1946,9100,10674,19774
1947,9712,10973,20685
1948,9952,10659,20611
1949,9725,10499,20224
1950,10472,10843,21315
1951,10993,11433,22426
1952,11446,11368,22814
1953,11350,11539,22889
1954,11683,11747,23430
1955,12361,11849,24210
1956,12830,12274,25104
1957,13300,12500,25800
1958,13062,11899,24961
1959,12655,11246,23901
1960,13408,11861,25269
1961,14054,12562,26616
1962,15204,13379,28583
1963,16586,15130,31716
1964,17713,15868,33581
1965,17500,15489,32989
1966,17041,15365,32406
1967,17305,15443,32748
1968,17826,15361,33187
1969,18915,16159,35074
1970,19533,16802,36335
1971,20366,17850,38216
1972,22323,18911,41234
1973,24680,21422,46102
1974,26754,22915,49669
1975,26848,23363,50211
1976,27683,23233,50916
1977,27307,23492,50799
1978,27778,24136,51914
1979,28215,23785,52000
1980,26601,22336,48937
1981,26313,22111,48424
1982,27803,23039,50842
1983,27672,23314,50986
1984,28357,23974,52331
1985,28555,24595,53150
1986,27925,24151,52076
1987,27552,24325,51877
1988,27359,25402,52761
1989,26211,24446,50657
1990,25964,24458,50422
1991,25833,24007,49840
1992,24237,22490,46727
1993,23452,21837,45289
1994,20213,19026,39239
1995,17636,16384,34020
1996,16136,14737,30873
1997,15129,13929,29058
1998,14731,13338,28069
1999,13982,12894,26876
2000,14084,11870,25954
2001,13794,11812,25606
2002,13596,11387,24983
2003,14428,12109,26537
2004,18088,15486,33574
2005,20925,18654,39579
2006,25919,23710,49629
2007,32004,30788,62792
2008,35634,34387,70021
2009,39920,38230,78150
2010,53031,50390,103421
2011,50797,48246,99043
2012,51770,49356,101126
2013,52313,49986,102299
2014,54218,51605,105823
2015,55197,52359,107556
2016,56496,53572,110068
2017,58836,55958,114794
2018,58462,55985,114447
2019,57463,54558,112021
2020,56496,54102,110598
2021,57378,54792,112170
2022,52173,49477,101650
